,,,,,,,result
1,0.484848485,0.437635281,0.568965517,0.355483494,0.097001818,1.943934595,0.004162973
2,0.272727273,0.053936688,0.485294118,0.26595387,0.052878391,1.13079034,0.000100393
3,0.303030303,0.143656806,0.559322034,0.31718939,0.057078423,1.380276956,0.000440824
4,0.181818182,0.011909271,0.464788732,0.211174078,0.035860643,0.905550907,7.62144E-06
5,0.090909091,0.000631313,0.379310345,0.075966459,0.021979407,0.568796615,3.63483E-08
6,0.121212121,0.029987374,0.38372093,0.079480578,0.029113342,0.643514345,3.2274E-06
7,0.121212121,0.029987374,0.38372093,0.079480578,0.029113342,0.643514345,3.2274E-06
8,0.121212121,0,0.44,0.170955115,0.024490758,0.756657994,0
9,0.151515152,0.055926828,0.515625,0.227405091,0.029765339,0.98023741,2.95748E-05
10,0.060606061,0.000847763,0.434210526,0.10267519,0.01430895,0.612648491,3.27766E-08
11,0.090909091,0.000631313,0.379310345,0.075966459,0.021979407,0.568796615,3.63483E-08
12,"	0.030303030303030304",0,0.366666667,0.052854169,0.009564917,0.429085753,0
13,0.060606061,0,0.370786517,0.084251921,0.014645186,0.530289685,0
14,0.151515152,0.045863396,0.515625,0.226469698,0.029536315,0.969009561,2.39675E-05
15,"	0.06060606060606061",0,0.370786517,0.101406278,0.014535162,0.486727957,0
16,"	0.06060606060606061",0,0.370786517,0.101406278,0.014535162,0.486727957,0
17,"	0.06060606060606061",0,0.284482759,0.023634794,0.016785378,0.324902931,0
18,"	0.06060606060606061",0,0.375,0.092396757,0.01455886,0.481955616,0
19,"	0.06060606060606061",0,0.370786517,0.101406278,0.014535162,0.486727957,0
20,0.090909091,0.032475048,0.5,0.14791134,0.019604417,0.790899896,4.28038E-06
21,"	0.06060606060606061",0,0.370786517,0.101406278,0.014535162,0.486727957,0
22,"	0.06060606060606061",0,0.375,0.092396757,0.01455886,0.481955616,0
23,"	0.06060606060606061",0,0.370786517,0.101406278,0.014535162,0.486727957,0
24,0.151515152,0.017613636,0.392857143,0.150123287,0.031520915,0.743630133,4.9612E-06
25,0.090909091,0.002209596,0.375,0.057053736,0.021075455,0.546247878,9.05759E-08
26,0.090909091,0.003840488,0.375,0.059208203,0.021005628,0.54996341,1.62833E-07
27,"	0.06060606060606061",0,0.362637363,0.075581922,0.015043395,0.45326268,0
28,0.121212121,0.022333454,0.458333333,0.133479327,0.025638804,0.760997039,4.24615E-06
29,0.090909091,0.001794733,0.452054795,0.131079256,0.019572961,0.695410835,1.89229E-07
30,0.121212121,0.002922078,0.38372093,0.134965287,0.026287263,0.669107679,4.82193E-07
31,0.121212121,0.014411977,0.458333333,0.174760278,0.024589337,0.793307046,3.44065E-06
32,0.181818182,0.138275613,0.540983607,0.19103627,0.037156636,1.089270307,9.65427E-05
33,0.363636364,0.145247114,0.515625,0.308651048,0.07169213,1.404851655,0.000602626
34,0.515151515,0.304074976,0.55,0.373371213,0.100917917,1.843515621,0.003246291
